Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Good/Bad
734,no checking account,4,critical account/ other credits existing (not at this bank),car (new),3380,... < 100 DM,4 <= ... < 7 years,One,female: divorced/separated/married,none,One,real estate,37,none,own,One,skilled employee / official,Two,none,yes,Good
735,0 <= 200 DM,36,all credits at this bank paid back duly,domestic appliances,3990,unknown/no savings account,... < 1 year,Three,female: divorced/separated/married,none,Two,unknown / no property,29,bank,own,One,unemployed/unskilled - non-resident,One,none,yes,Good
736,0 <= 200 DM,24,existing credits paid back duly till now,car (used),11560,... < 100 DM, 1 <= ... < 4 years,One,female: divorced/separated/married,none,Four,car or other,23,none,rent,Two,management / self-employed / highly qualified employee / officer,One,none,yes,Bad
737,... < 0 DM,18,existing credits paid back duly till now,car (new),4380,100 <= ... < 500 DM, 1 <= ... < 4 years,Three,male: single,none,Four,car or other,35,none,own,One,unskilled - resident,Two,"yes, registered under the customers name",yes,Good
738,no checking account,6,critical account/ other credits existing (not at this bank),car (new),6761,... < 100 DM,4 <= ... < 7 years,One,male: single,none,Three,unknown / no property,45,none,own,Two,management / self-employed / highly qualified employee / officer,Two,"yes, registered under the customers name",yes,Good
739,0 <= 200 DM,30,no credits taken/all credits paid back duly,business,4280,100 <= ... < 500 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Four,car or other,26,none,rent,Two,unskilled - resident,One,none,yes,Bad
740,... < 0 DM,24,all credits at this bank paid back duly,car (new),2325,100 <= ... < 500 DM,4 <= ... < 7 years,Two,male: single,none,Three,car or other,32,bank,own,One,skilled employee / official,One,none,yes,Good
741,0 <= 200 DM,10,all credits at this bank paid back duly,radio/television,1048,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Four,real estate,23,stores,own,One,unskilled - resident,One,none,yes,Good
742,no checking account,21,existing credits paid back duly till now,radio/television,3160,unknown/no savings account,... >= 7 years,Four,male: single,none,Three,building society savings agreement/life insurance,41,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
743,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,2483,500 <= ... < 1000 DM, 1 <= ... < 4 years,Four,male: single,none,Four,real estate,22,stores,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
744,... < 0 DM,39,critical account/ other credits existing (not at this bank),furniture/equipment,14179,unknown/no savings account,4 <= ... < 7 years,Four,male: single,none,Four,building society savings agreement/life insurance,30,none,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
745,... < 0 DM,13,critical account/ other credits existing (not at this bank),business,1797,... < 100 DM,... < 1 year,Three,male: single,none,One,building society savings agreement/life insurance,28,bank,own,Two,unskilled - resident,One,none,yes,Good
746,... < 0 DM,15,existing credits paid back duly till now,car (new),2511,... < 100 DM,unemployed,One,female: divorced/separated/married,none,Four,car or other,23,none,rent,One,skilled employee / official,One,none,yes,Good
747,... < 0 DM,12,existing credits paid back duly till now,car (new),1274,... < 100 DM,... < 1 year,Three,female: divorced/separated/married,none,One,real estate,37,none,own,One,unskilled - resident,One,none,yes,Bad
748,no checking account,21,existing credits paid back duly till now,car (used),5248,unknown/no savings account, 1 <= ... < 4 years,One,male: single,none,Three,car or other,26,none,own,One,skilled employee / official,One,none,yes,Good
749,no checking account,15,existing credits paid back duly till now,car (used),3029,... < 100 DM,4 <= ... < 7 years,Two,male: single,none,Two,car or other,33,none,own,One,skilled employee / official,One,none,yes,Good
750,... < 0 DM,6,existing credits paid back duly till now,furniture/equipment,428,... < 100 DM,... >= 7 years,Two,female: divorced/separated/married,none,One,building society savings agreement/life insurance,49,bank,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
751,... < 0 DM,18,existing credits paid back duly till now,car (new),976,... < 100 DM,... < 1 year,One,female: divorced/separated/married,none,Two,car or other,23,none,own,One,unskilled - resident,One,none,yes,Bad
752,0 <= 200 DM,12,existing credits paid back duly till now,business,841,100 <= ... < 500 DM,4 <= ... < 7 years,Two,female: divorced/separated/married,none,Four,real estate,23,none,rent,One,unskilled - resident,One,none,yes,Good
753,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5771,... < 100 DM,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Two,car or other,25,none,own,Two,skilled employee / official,One,none,yes,Good
754,no checking account,12,delay in paying off in the past,repairs,1555,... >= 1000 DM,... >= 7 years,Four,male: single,none,Four,unknown / no property,55,none,for free,Two,skilled employee / official,Two,none,yes,Bad
755,... < 0 DM,24,existing credits paid back duly till now,car (new),1285,unknown/no savings account,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Four,unknown / no property,32,none,rent,One,skilled employee / official,One,none,yes,Bad
756,... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1299,... < 100 DM, 1 <= ... < 4 years,One,male: single,none,One,real estate,74,none,own,Three,unemployed/unskilled - non-resident,Two,none,no,Good
757,... >= 200 DM / salary assignments for at least 1 year,15,critical account/ other credits existing (not at this bank),radio/television,1271,unknown/no savings account, 1 <= ... < 4 years,Three,male: single,none,Four,unknown / no property,39,none,for free,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
758,no checking account,24,existing credits paid back duly till now,car (new),1393,... < 100 DM, 1 <= ... < 4 years,Two,male: single,guarantor,Two,real estate,31,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
759,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),691,... < 100 DM,... >= 7 years,Four,male: single,none,Three,building society savings agreement/life insurance,35,none,own,Two,skilled employee / official,One,none,yes,Bad
760,no checking account,15,critical account/ other credits existing (not at this bank),car (new),5045,unknown/no savings account,... >= 7 years,One,female: divorced/separated/married,none,Four,car or other,59,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
761,... < 0 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,2124,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Four,real estate,24,none,rent,Two,skilled employee / official,One,none,yes,Bad
762,... < 0 DM,12,existing credits paid back duly till now,radio/television,2214,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Three,building society savings agreement/life insurance,24,none,own,One,unskilled - resident,One,none,yes,Good
763,no checking account,21,critical account/ other credits existing (not at this bank),car (new),12680,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,unknown / no property,30,none,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
764,no checking account,24,critical account/ other credits existing (not at this bank),car (new),2463,100 <= ... < 500 DM,4 <= ... < 7 years,Four,male: married/widowed,none,Three,building society savings agreement/life insurance,27,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
765,0 <= 200 DM,12,existing credits paid back duly till now,radio/television,1155,... < 100 DM,... >= 7 years,Three,male: married/widowed,guarantor,Three,real estate,40,bank,own,Two,unskilled - resident,One,none,yes,Good
766,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,3108,... < 100 DM,... < 1 year,Two,male: divorced/separated,none,Four,building society savings agreement/life insurance,31,none,own,One,unskilled - resident,One,none,yes,Bad
767,no checking account,10,existing credits paid back duly till now,car (used),2901,unknown/no savings account,... < 1 year,One,female: divorced/separated/married,none,Four,real estate,31,none,rent,One,skilled employee / official,One,none,yes,Good
768,0 <= 200 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,3617,... < 100 DM,... >= 7 years,One,male: single,none,Four,car or other,28,none,rent,Three,skilled employee / official,One,"yes, registered under the customers name",yes,Good
769,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1655,... < 100 DM,... >= 7 years,Two,male: single,none,Four,real estate,63,none,own,Two,unskilled - resident,One,"yes, registered under the customers name",yes,Good
770,... < 0 DM,24,existing credits paid back duly till now,car (used),2812,unknown/no savings account,... >= 7 years,Two,female: divorced/separated/married,none,Four,real estate,26,none,rent,One,skilled employee / official,One,none,yes,Good
771,... < 0 DM,36,critical account/ other credits existing (not at this bank),education,8065,... < 100 DM, 1 <= ... < 4 years,Three,female: divorced/separated/married,none,Two,unknown / no property,25,none,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
772,no checking account,21,critical account/ other credits existing (not at this bank),car (used),3275,... < 100 DM,... >= 7 years,One,male: single,none,Four,car or other,36,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
773,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2223,100 <= ... < 500 DM,... >= 7 years,Four,male: single,none,Four,building society savings agreement/life insurance,52,bank,own,Two,skilled employee / official,One,none,yes,Good
774,... >= 200 DM / salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car (new),1480,500 <= ... < 1000 DM,unemployed,Two,male: single,none,Four,unknown / no property,66,bank,for free,Three,unemployed/unskilled - non-resident,One,none,yes,Good
775,... < 0 DM,24,existing credits paid back duly till now,car (new),1371,unknown/no savings account, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Four,real estate,25,none,rent,One,skilled employee / official,One,none,yes,Bad
776,no checking account,36,critical account/ other credits existing (not at this bank),car (new),3535,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,Four,car or other,37,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
777,... < 0 DM,18,existing credits paid back duly till now,radio/television,3509,... < 100 DM,4 <= ... < 7 years,Four,female: divorced/separated/married,guarantor,One,real estate,25,none,own,One,skilled employee / official,One,none,yes,Good
778,no checking account,36,critical account/ other credits existing (not at this bank),car (used),5711,... >= 1000 DM,... >= 7 years,Four,male: single,none,Two,car or other,38,none,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
779,0 <= 200 DM,18,existing credits paid back duly till now,repairs,3872,... < 100 DM,unemployed,Two,female: divorced/separated/married,none,Four,car or other,67,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
780,0 <= 200 DM,39,critical account/ other credits existing (not at this bank),radio/television,4933,... < 100 DM,4 <= ... < 7 years,Two,male: single,guarantor,Two,real estate,25,none,own,Two,skilled employee / official,One,none,yes,Bad
781,no checking account,24,critical account/ other credits existing (not at this bank),car (new),1940,... >= 1000 DM,... >= 7 years,Four,male: single,none,Four,real estate,60,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
782,0 <= 200 DM,12,no credits taken/all credits paid back duly,retraining,1410,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,Two,real estate,31,none,own,One,unskilled - resident,One,"yes, registered under the customers name",yes,Good
783,0 <= 200 DM,12,existing credits paid back duly till now,car (new),836,100 <= ... < 500 DM,... < 1 year,Four,female: divorced/separated/married,none,Two,building society savings agreement/life insurance,23,bank,own,One,unskilled - resident,One,none,yes,Bad
784,0 <= 200 DM,20,existing credits paid back duly till now,car (used),6468,unknown/no savings account,unemployed,One,male: divorced/separated,none,Four,real estate,60,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
785,0 <= 200 DM,18,existing credits paid back duly till now,business,1941,... >= 1000 DM, 1 <= ... < 4 years,Four,male: single,none,Two,building society savings agreement/life insurance,35,none,own,One,unskilled - resident,One,"yes, registered under the customers name",yes,Good
786,no checking account,22,existing credits paid back duly till now,radio/television,2675,500 <= ... < 1000 DM,... >= 7 years,Three,male: single,none,Four,car or other,40,none,own,One,skilled employee / official,One,none,yes,Good
787,no checking account,48,critical account/ other credits existing (not at this bank),car (used),2751,unknown/no savings account,... >= 7 years,Four,male: single,none,Three,car or other,38,none,own,Two,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
788,0 <= 200 DM,48,delay in paying off in the past,education,6224,... < 100 DM,... >= 7 years,Four,male: single,none,Four,unknown / no property,50,none,for free,One,skilled employee / official,One,none,yes,Bad
789,... < 0 DM,40,critical account/ other credits existing (not at this bank),education,5998,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Three,unknown / no property,27,bank,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
790,0 <= 200 DM,21,existing credits paid back duly till now,business,1188,... < 100 DM,... >= 7 years,Two,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,39,none,own,One,skilled employee / official,Two,none,yes,Bad
791,no checking account,24,existing credits paid back duly till now,car (used),6313,unknown/no savings account,... >= 7 years,Three,male: single,none,Four,car or other,41,none,own,One,management / self-employed / highly qualified employee / officer,Two,"yes, registered under the customers name",yes,Good
792,no checking account,6,critical account/ other credits existing (not at this bank),furniture/equipment,1221,unknown/no savings account, 1 <= ... < 4 years,One,male: married/widowed,none,Two,building society savings agreement/life insurance,27,none,own,Two,skilled employee / official,One,none,yes,Good
793,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,2892,... < 100 DM,... >= 7 years,Three,male: divorced/separated,none,Four,unknown / no property,51,none,for free,One,skilled employee / official,One,none,yes,Good
794,no checking account,24,existing credits paid back duly till now,furniture/equipment,3062,500 <= ... < 1000 DM,... >= 7 years,Four,male: single,none,Three,unknown / no property,32,none,rent,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
795,no checking account,9,existing credits paid back duly till now,furniture/equipment,2301,100 <= ... < 500 DM,... < 1 year,Two,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,22,none,rent,One,skilled employee / official,One,none,yes,Good
796,... < 0 DM,18,existing credits paid back duly till now,car (used),7511,unknown/no savings account,... >= 7 years,One,male: single,none,Four,building society savings agreement/life insurance,51,none,for free,One,skilled employee / official,Two,"yes, registered under the customers name",yes,Bad
797,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1258,... < 100 DM,... < 1 year,Two,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,22,none,rent,Two,unskilled - resident,One,none,yes,Good
798,no checking account,24,delay in paying off in the past,car (new),717,unknown/no savings account,... >= 7 years,Four,male: married/widowed,none,Four,car or other,54,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
799,0 <= 200 DM,9,existing credits paid back duly till now,car (new),1549,unknown/no savings account,... < 1 year,Four,male: single,none,Two,real estate,35,none,own,One,unemployed/unskilled - non-resident,One,none,yes,Good
800,no checking account,24,critical account/ other credits existing (not at this bank),education,1597,... < 100 DM,... >= 7 years,Four,male: single,none,Four,unknown / no property,54,none,for free,Two,skilled employee / official,Two,none,yes,Good
801,0 <= 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1795,... < 100 DM,... >= 7 years,Three,female: divorced/separated/married,guarantor,Four,real estate,48,bank,rent,Two,unskilled - resident,One,"yes, registered under the customers name",yes,Good
802,... < 0 DM,20,critical account/ other credits existing (not at this bank),furniture/equipment,4272,... < 100 DM,... >= 7 years,One,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,24,none,own,Two,skilled employee / official,One,none,yes,Good
803,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,976,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,car or other,35,none,own,Two,skilled employee / official,One,none,yes,Good
804,0 <= 200 DM,12,existing credits paid back duly till now,car (new),7472,unknown/no savings account,unemployed,One,female: divorced/separated/married,none,Two,real estate,24,none,rent,One,unemployed/unskilled - non-resident,One,none,yes,Good
805,... < 0 DM,36,existing credits paid back duly till now,car (new),9271,... < 100 DM,4 <= ... < 7 years,Two,male: single,none,One,car or other,24,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
806,0 <= 200 DM,6,existing credits paid back duly till now,radio/television,590,... < 100 DM,... < 1 year,Three,male: married/widowed,none,Three,real estate,26,none,own,One,unskilled - resident,One,none,no,Good
807,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,930,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,real estate,65,none,own,Four,skilled employee / official,One,none,yes,Good
808,0 <= 200 DM,42,all credits at this bank paid back duly,car (used),9283,... < 100 DM,unemployed,One,male: single,none,Two,unknown / no property,55,bank,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
809,0 <= 200 DM,15,no credits taken/all credits paid back duly,car (new),1778,... < 100 DM,... < 1 year,Two,female: divorced/separated/married,none,One,real estate,26,none,rent,Two,unemployed/unskilled - non-resident,One,none,yes,Bad
810,0 <= 200 DM,8,existing credits paid back duly till now,business,907,... < 100 DM,... < 1 year,Three,male: married/widowed,none,Two,real estate,26,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
811,0 <= 200 DM,6,existing credits paid back duly till now,radio/television,484,... < 100 DM,4 <= ... < 7 years,Three,male: married/widowed,guarantor,Three,real estate,28,bank,own,One,unskilled - resident,One,none,yes,Good
812,... < 0 DM,36,critical account/ other credits existing (not at this bank),car (used),9629,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,Four,car or other,24,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
813,... < 0 DM,48,existing credits paid back duly till now,domestic appliances,3051,... < 100 DM, 1 <= ... < 4 years,Three,male: single,none,Four,car or other,54,none,own,One,skilled employee / official,One,none,yes,Bad
814,... < 0 DM,48,existing credits paid back duly till now,car (new),3931,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,Four,unknown / no property,46,none,for free,One,skilled employee / official,Two,none,yes,Bad
815,0 <= 200 DM,36,delay in paying off in the past,car (new),7432,... < 100 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,Two,building society savings agreement/life insurance,54,none,rent,One,skilled employee / official,One,none,yes,Good
816,no checking account,6,existing credits paid back duly till now,domestic appliances,1338,500 <= ... < 1000 DM, 1 <= ... < 4 years,One,male: divorced/separated,none,Four,real estate,62,none,own,One,skilled employee / official,One,none,yes,Good
817,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1554,... < 100 DM,4 <= ... < 7 years,One,female: divorced/separated/married,none,Two,car or other,24,none,rent,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
818,... < 0 DM,36,existing credits paid back duly till now,others,15857,... < 100 DM,unemployed,Two,male: divorced/separated,co-applicant,Three,car or other,43,none,own,One,management / self-employed / highly qualified employee / officer,One,none,yes,Good
819,... < 0 DM,18,existing credits paid back duly till now,radio/television,1345,... < 100 DM, 1 <= ... < 4 years,Four,male: married/widowed,none,Three,real estate,26,bank,own,One,skilled employee / official,One,none,yes,Bad
820,no checking account,12,existing credits paid back duly till now,car (new),1101,... < 100 DM, 1 <= ... < 4 years,Three,male: married/widowed,none,Two,real estate,27,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
821,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3016,... < 100 DM, 1 <= ... < 4 years,Three,male: married/widowed,none,One,car or other,24,none,own,One,skilled employee / official,One,none,yes,Good
822,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,... < 100 DM,... >= 7 years,Two,male: single,none,Two,building society savings agreement/life insurance,41,bank,own,One,skilled employee / official,Two,none,yes,Bad
823,... < 0 DM,8,critical account/ other credits existing (not at this bank),car (new),731,... < 100 DM,... >= 7 years,Four,male: single,none,Four,real estate,47,none,own,Two,unskilled - resident,One,none,yes,Good
824,no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,3780,... < 100 DM,... < 1 year,Three,male: divorced/separated,none,Two,car or other,35,none,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
825,... < 0 DM,21,critical account/ other credits existing (not at this bank),car (new),1602,... < 100 DM,... >= 7 years,Four,male: married/widowed,none,Three,car or other,30,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
826,... < 0 DM,18,critical account/ other credits existing (not at this bank),car (new),3966,... < 100 DM,... >= 7 years,One,female: divorced/separated/married,none,Four,real estate,33,bank,rent,Three,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
827,no checking account,18,no credits taken/all credits paid back duly,business,4165,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,Two,car or other,36,stores,own,Two,skilled employee / official,Two,none,yes,Bad
828,... < 0 DM,36,existing credits paid back duly till now,car (used),8335,unknown/no savings account,... >= 7 years,Three,male: single,none,Four,unknown / no property,47,none,for free,One,skilled employee / official,One,none,yes,Bad
829,0 <= 200 DM,48,delay in paying off in the past,business,6681,unknown/no savings account, 1 <= ... < 4 years,Four,male: single,none,Four,unknown / no property,38,none,for free,One,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
830,no checking account,24,delay in paying off in the past,business,2375,500 <= ... < 1000 DM, 1 <= ... < 4 years,Four,male: single,none,Two,car or other,44,none,own,Two,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
831,... < 0 DM,18,existing credits paid back duly till now,car (new),1216,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,Three,car or other,23,none,rent,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
832,... < 0 DM,45,no credits taken/all credits paid back duly,business,11816,... < 100 DM,... >= 7 years,Two,male: single,none,Four,car or other,29,none,rent,Two,skilled employee / official,One,none,yes,Bad
833,0 <= 200 DM,24,existing credits paid back duly till now,radio/television,5084,unknown/no savings account,... >= 7 years,Two,female: divorced/separated/married,none,Four,car or other,42,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
834,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,radio/television,2327,... < 100 DM,... < 1 year,Two,female: divorced/separated/married,none,Three,real estate,25,none,own,One,unskilled - resident,One,none,yes,Bad
835,... < 0 DM,12,no credits taken/all credits paid back duly,car (new),1082,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Four,car or other,48,bank,own,Two,skilled employee / official,One,none,yes,Bad
836,no checking account,12,existing credits paid back duly till now,radio/television,886,unknown/no savings account, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Two,car or other,21,none,own,One,skilled employee / official,One,none,yes,Good
837,no checking account,4,existing credits paid back duly till now,furniture/equipment,601,... < 100 DM,... < 1 year,One,female: divorced/separated/married,none,Three,real estate,23,none,rent,One,unskilled - resident,Two,none,yes,Good
838,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),2957,... < 100 DM,... >= 7 years,Four,male: single,none,Four,building society savings agreement/life insurance,63,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
839,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2611,... < 100 DM,... >= 7 years,Four,male: married/widowed,co-applicant,Three,real estate,46,none,own,Two,skilled employee / official,One,none,yes,Good
840,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,5179,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,Two,building society savings agreement/life insurance,29,none,own,One,skilled employee / official,One,none,yes,Bad
841,no checking account,21,delay in paying off in the past,car (used),2993,... < 100 DM, 1 <= ... < 4 years,Three,male: single,none,Two,real estate,28,stores,own,Two,unskilled - resident,One,none,yes,Good
842,no checking account,18,existing credits paid back duly till now,repairs,1943,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,Four,real estate,23,none,own,One,skilled employee / official,One,none,yes,Bad
843,no checking account,24,all credits at this bank paid back duly,business,1559,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,Four,car or other,50,bank,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
844,no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,... < 100 DM,... >= 7 years,Four,male: single,none,Four,building society savings agreement/life insurance,47,bank,own,Three,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
845,0 <= 200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/no savings account,4 <= ... < 7 years,Two,male: single,none,Three,car or other,35,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
846,no checking account,18,existing credits paid back duly till now,car (new),6761,unknown/no savings account, 1 <= ... < 4 years,Two,male: single,none,Four,car or other,68,none,rent,Two,skilled employee / official,One,none,yes,Bad
847,no checking account,24,existing credits paid back duly till now,car (new),1249,... < 100 DM,... < 1 year,Four,male: married/widowed,none,Two,real estate,28,none,own,One,skilled employee / official,One,none,yes,Good
848,... < 0 DM,9,existing credits paid back duly till now,radio/television,1364,... < 100 DM,4 <= ... < 7 years,Three,male: single,none,Four,real estate,59,none,own,One,skilled employee / official,One,none,yes,Good
849,... < 0 DM,12,existing credits paid back duly till now,radio/television,709,... < 100 DM,... >= 7 years,Four,male: single,none,Four,real estate,57,stores,own,One,unskilled - resident,One,none,yes,Bad
850,... < 0 DM,20,critical account/ other credits existing (not at this bank),car (new),2235,... < 100 DM, 1 <= ... < 4 years,Four,male: married/widowed,guarantor,Two,building society savings agreement/life insurance,33,bank,rent,Two,skilled employee / official,One,none,no,Bad
851,no checking account,24,critical account/ other credits existing (not at this bank),car (used),4042,unknown/no savings account,4 <= ... < 7 years,Three,male: single,none,Four,building society savings agreement/life insurance,43,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
852,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1471,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Four,unknown / no property,35,none,for free,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
853,... < 0 DM,18,all credits at this bank paid back duly,car (new),1442,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,Four,unknown / no property,32,none,for free,Two,unskilled - resident,Two,none,yes,Bad
854,no checking account,36,delay in paying off in the past,car (new),10875,... < 100 DM,... >= 7 years,Two,male: single,none,Two,car or other,45,none,own,Two,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
855,no checking account,24,existing credits paid back duly till now,car (new),1474,100 <= ... < 500 DM,... < 1 year,Four,male: married/widowed,none,Three,real estate,33,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
856,no checking account,10,existing credits paid back duly till now,retraining,894,unknown/no savings account,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Three,building society savings agreement/life insurance,40,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
857,no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,3343,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Two,unknown / no property,28,none,for free,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
858,... < 0 DM,15,existing credits paid back duly till now,car (new),3959,... < 100 DM, 1 <= ... < 4 years,Three,female: divorced/separated/married,none,Two,building society savings agreement/life insurance,29,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
859,no checking account,9,existing credits paid back duly till now,car (new),3577,100 <= ... < 500 DM, 1 <= ... < 4 years,One,male: single,guarantor,Two,real estate,26,none,rent,One,skilled employee / official,Two,none,no,Good
860,no checking account,24,critical account/ other credits existing (not at this bank),car (used),5804,... >= 1000 DM, 1 <= ... < 4 years,Four,male: single,none,Two,real estate,27,none,own,Two,skilled employee / official,One,none,yes,Good
861,no checking account,18,delay in paying off in the past,business,2169,... < 100 DM, 1 <= ... < 4 years,Four,male: married/widowed,none,Two,car or other,28,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
862,... < 0 DM,24,existing credits paid back duly till now,radio/television,2439,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,Four,real estate,35,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
863,no checking account,27,critical account/ other credits existing (not at this bank),furniture/equipment,4526,... >= 1000 DM,... < 1 year,Four,male: single,none,Two,real estate,32,stores,own,Two,unskilled - resident,Two,"yes, registered under the customers name",yes,Good
